,dateHourMinute,adMatchedQuery,city,screenResolution,browser,operatingSystem,mobileDeviceInfo,adSlot,adMatchType,impressions,adClicks,adCost,pageviews,timeOnPage,ctr,screenResolutionDist,adMatchedQueryLenDist,hasFarmaOnQuery
3811,2019-04-18 13:36:00,mais ou menos quanto o remédio dose única,Olinda,360x640,Chrome,Android,Asus X013D Zenfone Go 5.5,Google search: Top,Broad match,1.0,,0.58,2.0,18.0,,x-small,medium,False
3812,2019-04-18 14:09:00,farmacia pague menos 24 horas,Recife,360x640,Chrome,Android,Motorola Moto G Play Moto G4 Play,Google search: Top,Phrase match,1.0,1.0,0.22,4.0,149.0,1.0,x-small,short,True
3813,2019-04-18 14:40:00,farmácia tavares tabajara remedio para artrose,Olinda,360x640,Chrome,Android,Samsung SM-J500M Galaxy J5,Google search: Top,Broad match,1.0,1.0,0.25,1.0,288.2,1.0,x-small,medium,True
3814,2019-04-18 15:11:00,comprar regulador xavier 2,Recife,412x846,Chrome,Android,Samsung SM-J810M Galaxy J8,Google search: Top,Broad match,1.0,1.0,0.16,5.0,33.0,1.0,x-small,short,False
3815,2019-04-18 15:15:00,farmácias em olinda,Olinda,360x640,Chrome,Android,Samsung SM-G570M Galaxy J5 Prime,Google search: Top,Broad match,1.0,1.0,,3.0,41.0,1.0,x-small,short,True
3816,2019-04-18 15:52:00,farmacia delivery olinda,Recife,360x640,Chrome,Android,Motorola Moto G (5) Plus,Google search: Top,Broad match,1.0,,,7.0,85.0,,x-small,short,True
3817,2019-04-18 17:05:00,qual o preço da quetiapina 25 mg,Recife,360x640,Chrome,Android,Samsung SM-J320M Galaxy J3 Duos,Google search: Top,Broad match,1.0,1.0,0.29,7.0,121.0,1.0,x-small,short,False
3818,2019-04-18 17:09:00,hemifumarato quetiapina 25mg,Recife,360x640,Chrome,Android,Samsung SM-J320M Galaxy J3 Duos,Search partners: Other,Broad match,,,0.38,1.0,288.2,1.0,x-small,short,False
3819,2019-04-18 17:17:00,silimalon na farmácia do pop quanto é,Paulista,360x640,Chrome,Android,Samsung SM-J710MN Galaxy J7 (2016),Google search: Top,Phrase match,1.0,1.0,0.28,5.0,92.0,1.0,x-small,medium,True
3820,2019-04-18 17:20:00,quanto custa o silimalon com 30 cápsulas,Paulista,360x640,Chrome,Android,Samsung SM-J710MN Galaxy J7 (2016),Google search: Top,Broad match,1.0,1.0,0.28,7.0,98.0,1.0,x-small,medium,False
3821,2019-04-18 17:34:00,doxazosina preço,Paulista,320x569,Chrome,Android,LG LG-M250 K10 2017,Google search: Other,Broad match,1.0,1.0,0.27,1.0,288.2,1.0,x-small,very short,False
3822,2019-04-18 17:41:00,mesilato de doxazosina 4mg menor preço,Paulista,320x569,Chrome,Android,LG LG-M250 K10 2017,Google search: Other,Broad match,1.0,1.0,,10.0,338.0,1.0,x-small,medium,False
3823,2019-04-18 18:44:00,farmacia independente olinda,Paulista,424x848,Chrome,Android,Motorola moto g(6) Moto G6,Google search: Top,Broad match,1.0,1.0,0.28,1.0,288.2,1.0,x-small,short,True
3824,2019-04-18 19:13:00,tem pomada cavilon na farmácia pague menos,Recife,360x640,Chrome,Android,LG X410.F K30,Google search: Top,Phrase match,1.0,1.0,0.29,5.0,110.0,1.0,x-small,medium,True
3825,2019-04-18 20:26:00,hari comprimido,Paulista,320x570,Chrome,Android,Multilaser MS50,Google search: Other,Broad match,1.0,,0.58,4.0,79.0,,x-small,very short,False
3826,2019-04-18 20:32:00,farmacia 24 hrs olinda,Recife,412x846,Chrome,Android,Samsung SM-J810M Galaxy J8,Google search: Top,Broad match,1.0,1.0,0.22,6.0,384.0,1.0,x-small,short,True
3827,2019-04-18 20:42:00,farmacias,Olinda,424x753,Chrome,Android,LG LG-M250 K10 2017,Google search: Top,Exact match,1.0,1.0,0.19,3.0,81.0,1.0,x-small,very short,True
3828,2019-04-18 20:56:00,quais os benefícios do remédio calcitran mdk,Recife,320x534,Chrome,Android,Samsung SM-G355M Galaxy Core II Duos,Google search: Top,Broad match,1.0,1.0,0.29,4.0,71.0,1.0,x-small,medium,False
3829,2019-04-18 21:11:00,betacortazol pomada creme comprar,Olinda,360x640,Chrome,Android,Motorola Moto G (4) Moto G4,Google search: Top,Broad match,1.0,1.0,0.29,5.0,28.0,1.0,x-small,short,False
3830,2019-04-18 21:12:00,onde comprar sulfato de magnésio,Recife,360x640,Chrome,Android,Asus Z00VD Zenfone Go,Google search: Top,Broad match,1.0,1.0,0.29,4.0,56.0,1.0,x-small,short,False
3831,2019-04-18 21:37:00,farmacia em olinda que faz entrega,Recife,424x753,Chrome,Android,Motorola Moto X4,Google search: Top,Broad match,1.0,1.0,0.2,1.0,288.2,1.0,x-small,medium,True
3832,2019-04-18 21:40:00,farmacia 24 horas entrega a domicilio,Paulista,360x640,Chrome,Android,LG LG-M320 X Power 2,Google search: Top,Phrase match,1.0,1.0,0.21,1.0,288.2,1.0,x-small,medium,True
3833,2019-04-18 21:46:00,farmacia em pleno nda que faz entrega,Recife,360x640,Chrome,Android,Motorola Moto E(4),Google search: Top,Broad match,1.0,,0.58,4.0,18.0,,x-small,medium,True
3834,2019-04-18 22:13:00,onde qual a farmácia que eu encontro árbitro,Recife,360x640,Chrome,Android,Samsung SM-J500M Galaxy J5,Google search: Top,Broad match,1.0,1.0,0.13,1.0,288.2,1.0,x-small,medium,True
3835,2019-04-19 08:13:00,farmácia pague menos,Olinda,360x640,Chrome,Android,Motorola Moto C Plus,Google search: Top,Exact match,,,0.39,6.0,36.0,1.0,x-small,short,True
3836,2019-04-19 09:40:00,farmacia pague menos,Olinda,360x720,Chrome,Android,Motorola moto e5,Google search: Top,Exact match,,1.0,0.29,1.0,288.2,,x-small,short,True
3837,2019-04-19 09:53:00,farmacias em olinda,Recife,768x1024,Chrome,iOS,Apple iPad,Google search: Top,Broad match,1.0,1.0,0.29,3.0,156.0,1.0,medium,short,True
3838,2019-04-19 09:57:00,farmacia olinda,Olinda,412x732,Chrome,Android,Samsung SM-J400M Galaxy J4,Google search: Top,Exact match,1.0,1.0,,2.0,13.0,1.0,x-small,very short,True
3839,2019-04-19 10:20:00,farmacia em jardim atlantico q faz entrega,Recife,360x640,Chrome,Android,Samsung SM-J700M Galaxy J7 2015,Google search: Top,Broad match,1.0,1.0,0.15,2.0,12.0,1.0,x-small,medium,True
3840,2019-04-19 12:10:00,wartec onde comprar,Paulista,375x667,Safari,iOS,Apple iPhone,Google search: Top,Broad match,1.0,1.0,0.3,5.0,35.0,1.0,x-small,short,False
3841,2019-04-19 13:10:00,cera depil bella farmacias,Recife,375x667,Safari,iOS,Apple iPhone,Google search: Top,Broad match,1.0,1.0,0.3,1.0,288.2,1.0,x-small,short,True
3842,2019-04-19 13:50:00,farmacia pague menos em olinda,Olinda,360x640,Chrome,Android,Motorola Moto E (4) Plus,Google search: Top,Phrase match,1.0,,0.2,1.0,288.2,,x-small,short,True
3843,2019-04-19 13:50:00,farmácia que faz entrega em olinda,Recife,360x640,Chrome,Android,Motorola XT1069 Moto G (2nd Gen),Google search: Top,Broad match,1.0,1.0,,5.0,455.0,1.0,x-small,medium,True
3844,2019-04-19 14:30:00,paggue menos olinda,Olinda,375x667,Chrome,iOS,Apple iPhone,Google search: Top,Broad match,1.0,1.0,0.3,3.0,292.0,1.0,x-small,short,False
3845,2019-04-19 14:41:00,farmacia olinda entrega casa ca8ada,Recife,360x740,Chrome,Android,Samsung SM-A530F Galaxy A8 2018,Google search: Top,Broad match,1.0,1.0,0.17,7.0,159.0,1.0,x-small,medium,True
3846,2019-04-19 15:39:00,farmácia,Olinda,360x640,Chrome,Android,LG LG-M320 X Power 2,Google search: Top,Broad match,,1.0,0.23,5.0,244.0,,x-small,very short,True
3847,2019-04-19 16:00:00,farmacia pague menos telefone,Recife,320x569,Chrome,Android,Samsung SM-G570M Galaxy J5 Prime,Google search: Top,Phrase match,1.0,,0.6,1.0,288.2,,x-small,short,True
3848,2019-04-19 17:51:00,farmacia 24 horas entrega a domicilio olinda,Recife,600x1024,Chrome,Android,Samsung SM-T116BU Galaxy Tab 3V 3G,Google search: Top,Broad match,1.0,1.0,0.17,3.0,482.0,1.0,small,medium,True
3849,2019-04-19 18:03:00,glibenclamida preço,Recife,360x756,Chrome,Android,Motorola Moto G7 Play,Google search: Top,Broad match,1.0,1.0,0.3,1.0,288.2,1.0,x-small,short,False
3850,2019-04-19 18:07:00,butazona preço,Recife,360x640,Chrome,Android,Motorola Moto E (4) Plus,Google search: Other,Broad match,1.0,1.0,0.3,1.0,288.2,1.0,x-small,very short,False
